אֵב,bud
אֲבָקָה,scent-powder
אֱגֹוז,nut
אַגָּן,bowl
אָדֹם,red
אֶדֶן,pedestal
אֲהָבָה,love
אָהָל,aloe
אֹהֶל,tent
אֹו,or
אָז,then
אָח,brother
אֶחָד,one
אָחֹות,sister
אָחֻז,holding
אחז,seize
אַחַר,after
אֵיכָה,how
אֵיכָכָה,how
אַיָּל,fallow-buck
אַיָּלָה,doe
אָיֹם,frightful
אַיִן,\textit{NEG}
אִישׁ,man
אֶל,to
אַל,not
אֶלֶף,thousand
אִם,if
אֵם,mother
אָמָּן,artisan
אֲמָנָה,Amana
אָן,whither
אֲנִי,I
אסר,bind
אַף,even
אַף,nose
אָפִיק,stream
אַפִּרְיֹון,litter
אֶצְבַּע,finger
אַרְגָּמָן,purple-wool
ארה,pluck
אֶרֶז,cedar
אֲרִי,lion
אֶרֶץ,earth
אֵשׁ,fire
אִשָּׁה,woman
אֲשִׁישָׁה,raisin cake
אֶשְׁכֹּול,grape
אֲשֶׁר,\textit{relative}
אֵת,\textit{object marker}
אֵת,together with
אַתְּ,you
בְּ,in
בְּאֵר,well
בוז,despise
בֶּטֶן,belly
בַּיִן,interval
בַּיִת,house
בֵּן,son
בַּעַד,distance
בַּעַל הָמֹון,Baal Hamon
בַּר,pure
בְּרֹות,juniper
ברח,run away
בְּרֵכָה,pool
בֹּשֶׂם,balsam-tree
בַּת,daughter
בַּת רַבִּים,Bath Rabbim
בֶּתֶר,\textit{uncertain}
גִּבֹּור,vigorous
גִּבְעָה,hill
גְּדִיָּה,young goat
גיל,rejoice
גַּל,"wave, heap"
גָּלִיל,pivot
גִּלְעָד,Gilead
גלשׁ,go down
גַּם,even
גַּן,garden
גַּנָּה,garden
גֶּפֶן,vine
גֶּשֶׁם,rain
דבב,flow
דְּבַשׁ,honey
דֶּגֶל,banner
דגל,lift banner
דָּוִד,David
דֹּוד,beloved one
דּוּדַי,mandrake
דלג,ascend
דַּלָּה,thread
דֶּלֶת,door
דמה,be like
דַּמֶּשֶׂק,Damascus
דפק,drive
הֲ,\textit{interrogative}
הַ,the
הֹון,abundance
הִיא,she
הֵם,they
הֵמָּה,they
הִנֵּה,behold
